publishedAt,authorDisplayName,textDisplay,likeCount,Channel
2024-10-13T22:10:42Z,@Gilangzhn,"Covid emg ada kalo sesuai ciri²nya di brosur dlu. Kaya tenggorokan sakit, demam tinggi, ilangnya indra penciuman, batuk kering, dll. Itu pernah saya alamin, cuman ga seberbahaya yg media tontonkan. Menurutku pemerintah melebih² kan tragedi itu. Buktinya banyak kejanggalan, pas masa covid. Kaya ga di kasih oksigen, di bekam, dan paling janggal sekali mayitnya gabole di lihat ama pihak keluarga, tiba² di kuburin aja. Lagain gda tu Anggota DPR/anggota pemerintahan yg lain yg kena covid terus meninggal, gda kasusnya. Malahan yg kena kasusnya tu masyarakat menengah atau masyarakat kecil. Makanya disitu saya ga berani sama sekali ke dokter, dan Alhamdulillah sembuh dalam 7 hari.",0,Kompas TV
2024-10-07T03:34:45Z,@gembelelit9197,Darmakun tanpa basa basi fokus pada poksi,2,Kompas TV
2024-10-07T03:17:51Z,@AntoSagala-q3i,Gak seru kalau gak ada pak Ahok,3,Kompas TV
2024-10-07T03:13:10Z,@IrwanSyah-d6v,Sy orang padang.. Tapi sy sering melihat pak darma tampil di media&quot;  Saya melihat di sifat pak darma saya memperhatikan pak darma tu punya jiwa ke  pemimpin an.. Tegas dan jujur.. Dan juga putar.. Sebab tiap saya berhati kan beliau berbicara kyk gk ada pencitraan sama sekali.. Kalau saudara&quot; Saya yg gk milih Pak darma bakalan rugi.. Apa lagi beliau maju gk ada tekanan dari partai sama sekali,10,Kompas TV
2024-10-07T03:01:20Z,@yudiapriliyanto7124,Kemliti,0,Kompas TV
2024-10-07T03:00:28Z,@IrwanSyah-d6v,Pilih yg independen,1,Kompas TV
2024-10-07T02:51:16Z,@rierie1884,Menit 5.51 knp suara nya dimatikan?,0,Kompas TV
2024-10-07T02:49:33Z,@MuhammadShodriqin,Sapah yg kaga bisa jaga mulut sampe skrg ? Lama bener,0,Kompas TV
2024-10-07T02:49:31Z,@sofiesulaiman8597,kok bisa ya bicara panjang lebar tanpa ada jeda dan kata &#39;eeeeee.....&#39;. Pinter pinter semua calonnya,0,Kompas TV
2024-10-07T02:40:13Z,@lolol9247,"kok gada yg joget2 lg ya, apakah gimmicknya sudah ga laku? wkwkwk mau dong oke yes oke yes lagii",0,Kompas TV
2024-10-07T02:19:22Z,@NadiaAmalia-o8i,sukses kedepannya pak pram dan bang doel,0,Kompas TV
2024-10-07T02:15:13Z,@YovizaAnwar,MAS PRAM &amp; BANG DOEL .<br>YANG PERTAMA BERANTAS NARKOBA    BETUL BETUL SAMPAI KE AKAR AKAR NYA .<br>TERMASUK OKNUM APARAT YANG MEMBEKINGIN NYA MAUPUN YANG IKUT SERTA .<br>BARU SETELAH ITU YANG LAIN NYA,0,Kompas TV
2024-10-07T02:09:38Z,@rahonsiregar6811,Pak dharma top🎉,4,Kompas TV
2024-10-07T02:00:16Z,@nadavrus,Sy puyuskan hari jni.. Sy iklaskan suara sy utk pak dharma.. pemimpin idamanku slama ini.. pak dharma cerdass..👍👍,7,Kompas TV
2024-10-07T01:59:55Z,@harrypontoh7353,"Setelah dilihat didengar, maka disimpulkan bahwa dari ketiga pslon tsb bhwa Paslon no urut 3 lah lbh merakyat dan yg lbh dpt mengayomi rakyat <br>Mudahan dk bisa terpilih",0,Kompas TV
